name,pfs,source,rarity,trait,item_category,item_subcategory,level,price,bulk,usage,spoilers
Mikazuki (Ranged),Standard,Treasure Vault pg. 31 <sup>1.1</sup>,Common,"Combination, Monk, Propulsive",Weapons,Base Weapons,0,8 gp,2,,
Rotary Bow,Standard,Treasure Vault pg. 31 <sup>1.1</sup>,Common,Capacity 4,Weapons,Base Weapons,0,8 gp,1,,
Shauth Lash,Limited,Pathfinder #165: Eyes of Empty Death pg. 73,Uncommon,"Deadly d10, Finesse, Trip, Uncommon",Weapons,Base Weapons,0,8 gp,1,,Abomination Vaults
Wrecker (Melee),Standard,Treasure Vault pg. 31 <sup>1.1</sup>,Common,"Dwarf, Razing, Reach, Combination",Weapons,Base Weapons,0,8 gp,2,,
Wrecker (Ranged),Standard,Treasure Vault pg. 31 <sup>1.1</sup>,Common,"Combination, Dwarf, Ranged Trip, Razing",Weapons,Base Weapons,0,8 gp,2,,
Capturing Spetum,Standard,Player Core 2 pg. 274,Uncommon,"Hampering, Hobgoblin, Reach, Trip, Uncommon",Weapons,Base Weapons,0,9 gp,2,,
Dragon Mouth Pistol,Standard,Guns & Gears pg. 152 <sup>2.0</sup>,Uncommon,"Concussive, Scatter 5 ft., Uncommon",Weapons,Base Weapons,0,9 gp,1,,
False Witness (Disreputable),Standard,Dark Archive pg. 83,Uncommon,Uncommon,Services,Secret Society Membership Services,0,9 gp,,,
Gauntlet Bow,Standard,Treasure Vault pg. 31 <sup>1.1</sup>,Common,"Capacity 4, Free-Hand, Parry",Weapons,Base Weapons,0,9 gp,1,,
Lattice Armor,Standard,Treasure Vault pg. 10 <sup>1.1</sup>,Common,,Armor,Base Armor,0,9 gp,2,,
Long Air Repeater,Standard,Guns & Gears pg. 153 <sup>2.0</sup>,Uncommon,"Kickback, Repeating, Uncommon",Weapons,Base Weapons,0,9 gp,1,,
Mithral Tree,Standard,Guns & Gears pg. 153 <sup>2.0</sup>,Uncommon,"Concussive, Elf, Fatal d10, Parry, Uncommon",Weapons,Base Weapons,0,9 gp,1,,
Arquebus,Standard,Guns & Gears pg. 152 <sup>2.0</sup>,Uncommon,"Concussive, Fatal d12, Kickback, Uncommon",Weapons,Base Weapons,0,10 gp,2,,
Asp Coil,Standard,Grand Bazaar pg. 105,Uncommon,"Reach, Uncommon, Versatile P",Weapons,Base Weapons,0,10 gp,1,,
Barding (Light; Small or Medium),Standard,Player Core pg. 295 <sup>2.0</sup>,Common,,Adventuring Gear,,0,10 gp,2,,
Bird (House Eagle),Standard,Travel Guide pg. 101,Common,,Animals and Gear,Animals,0,10 gp,,,
Canary Tail (First Week),,Firebrands pg. 92 <sup>2.0</sup>,Common,,Services,,0,10 gp,,,
Cat (Galtan Orange),Standard,Travel Guide pg. 101,Common,,Animals and Gear,Animals,0,10 gp,,,
"Chariot, Light",,GM Core pg. 215 <sup>2.0</sup>,Common,,Vehicles,,0,10 gp,,,
Coded Signal (Temporary),Standard,Dark Archive pg. 83,Uncommon,Uncommon,Services,Secret Society Membership Services,0,10 gp,,,
Copper (Ingot),,Travel Guide pg. 36,Common,,Trade Goods,,0,10 gp,,,
Dinosaur,Standard,Travel Guide pg. 103,Common,,Animals and Gear,Animals,0,10 gp,,,
False Manacles,Standard,PFS Guide pg. 114,Uncommon,Uncommon,Adventuring Gear,,0,10 gp,,,
Field Guide,Standard,Howl of the Wild pg. 112 <sup>2.0</sup>,Uncommon,Uncommon,Adventuring Gear,,0,10 gp,L,,
Guide (Survival Guide Level 2),,Firebrands pg. 93 <sup>2.0</sup>,Common,,Services,,0,10 gp,,,
Harmona Gun,Standard,Guns & Gears pg. 153 <sup>2.0</sup>,Uncommon,"Kickback, Uncommon",Weapons,Base Weapons,0,10 gp,2,,
Harrow Deck (Common),Limited,Pathfinder #160: Assault on Hunting Lodge Seven pg. 66,Common,,Adventuring Gear,,0,10 gp,L,,
Item Cache (Common Cache Level 3),,Firebrands pg. 93 <sup>2.0</sup>,Common,,Services,,0,10 gp,,,
Item Cache (Uncommon Cache Level 1),,Firebrands pg. 93 <sup>2.0</sup>,Common,,Services,,0,10 gp,,,
"Lodging (Extravagant Suite, for 6)",Standard,Player Core pg. 294 <sup>2.0</sup>,Common,,Services,,0,10 gp (per day),,,
Marble,,Travel Guide pg. 37,Common,,Trade Goods,,0,10 gp (per slab),,,
Rapier Pistol (Melee),Standard,Guns & Gears pg. 159 <sup>2.0</sup>,Uncommon,"Critical Fusion, Deadly d8, Disarm, Finesse, Uncommon, Combination",Weapons,Base Weapons,0,10 gp,1,,
Rapier Pistol (Ranged),Standard,Guns & Gears pg. 159 <sup>2.0</sup>,Uncommon,"Backstabber, Combination, Concussive, Fatal d8, Uncommon",Weapons,Base Weapons,0,10 gp,1,,
Researcher (Level 3; expert),Standard,PFS Guide pg. 116,Common,,Services,Researcher,0,10 gp (per day),,,
Safe House (Level 1),,Firebrands pg. 94 <sup>2.0</sup>,Common,,Services,,0,10 gp (per day),,,
Smuggling (Level 1),,Firebrands pg. 95 <sup>2.0</sup>,Common,,Services,,0,10 gp,,,
Snowshoes,Standard,PFS Guide pg. 115,Common,,Adventuring Gear,,0,10 gp,1,,
Tank (Traveling),Standard,Travel Guide pg. 101,Common,,Animals and Gear,Animal Caretaking Gear,0,10 gp,,,
Taw Launcher,Standard,"Treasure Vault pg. 31 <sup>1.1</sup>, Ancestry Guide pg. 138 <sup>3.0</sup>",Uncommon,"Conrasu, Deadly d10, Modular (B, P, or S), Uncommon",Weapons,Base Weapons,0,10 gp,1,,
Tower Shield,Standard,Player Core pg. 274 <sup>2.0</sup>,Common,,Shields,Base Shields,0,10 gp,4,,
Tricky Pick,Standard,Player Core 2 pg. 275,Uncommon,"Backstabber, Fatal d10, Kobold, Modular (B, P, or S), Uncommon",Weapons,Base Weapons,0,10 gp,1,,
Triggerbrand (Melee),Standard,Impossible Lands pg. 108,Uncommon,"Critical Fusion, Finesse, Versatile S, Combination, Uncommon",Weapons,Base Weapons,0,10 gp,1,,
Triggerbrand (Ranged),Standard,Impossible Lands pg. 108,Uncommon,"Combination, Concussive, Fatal d8, Uncommon",Weapons,Base Weapons,0,10 gp,1,,
Harrow Deck (Fine),Limited,Pathfinder #160: Assault on Hunting Lodge Seven pg. 66,Common,,Adventuring Gear,,0,11 gp (+),L,,
Hongali Hornbow,Standard,Grand Bazaar pg. 105,Uncommon,"Deadly d6, Propulsive, Uncommon",Weapons,Base Weapons,0,11 gp,2,,
Pepperbox,Standard,Guns & Gears pg. 153 <sup>2.0</sup>,Uncommon,"Capacity 3, Concussive, Fatal d8, Uncommon",Weapons,Base Weapons,0,12 gp,1,,
Three-Section Naginata,Standard,Treasure Vault pg. 30 <sup>1.1</sup>,Uncommon,"Deadly d8, Forceful, Sweep, Uncommon, Versatile B",Weapons,Base Weapons,0,12 gp,2,,
Mace Multipistol (Melee),Standard,Guns & Gears pg. 159 <sup>2.0</sup>,Uncommon,"Critical Fusion, Finesse, Shove, Uncommon, Combination",Weapons,Base Weapons,0,13 gp,1,,
Mace Multipistol (Ranged),Standard,Guns & Gears pg. 159 <sup>2.0</sup>,Uncommon,"Capacity 3, Combination, Concussive, Fatal d8, Uncommon",Weapons,Base Weapons,0,13 gp,1,,
Composite Shortbow,Standard,Player Core pg. 280 <sup>2.0</sup>,Common,"Deadly d10, Propulsive",Weapons,Base Weapons,0,14 gp,1,,
Researcher (Level 4),Standard,PFS Guide pg. 116,Common,,Services,Researcher,0,14 gp (per day),,,
Battle Lute,Limited,Pathfinder #164: Hands of the Devil pg. 73,Uncommon,"Shove, Two-Hand 1d8, Uncommon",Weapons,Base Weapons,0,15 gp,1,,Abomination Vaults
Glider,,GM Core pg. 214 <sup>2.0</sup>,Uncommon,Uncommon,Vehicles,,0,15 gp,,,
Piercing Wind (Melee),Standard,Guns & Gears pg. 159 <sup>2.0</sup>,Uncommon,"Critical Fusion, Finesse, Sweep, Uncommon, Combination",Weapons,Base Weapons,0,15 gp,1,,
Piercing Wind (Ranged),Standard,Guns & Gears pg. 159 <sup>2.0</sup>,Uncommon,"Combination, Concussive, Fatal Aim d10, Uncommon",Weapons,Base Weapons,0,15 gp,1,,
Propaganda (Level 1),,Firebrands pg. 94 <sup>2.0</sup>,Common,,Services,,0,15 gp,,,
Rowboat,,GM Core pg. 217 <sup>2.0</sup>,Common,,Vehicles,,0,15 gp,,,
Spellcasting (3rd level),Standard,Player Core pg. 295 <sup>2.0</sup>,Common,,Services,Spellcasting,0,18 gp (plus any cost required to cast the specific spell),,,
Armored Coat,Standard,Knights of Lastwall pg. 87,Uncommon,"Comfort, Flexible, Uncommon",Armor,Base Armor,0,20 gp,2,,
Barding (Light; Large),Standard,Player Core pg. 295 <sup>2.0</sup>,Common,,Adventuring Gear,,0,20 gp,4,,
Canary Tail (Second Week),,Firebrands pg. 92 <sup>2.0</sup>,Common,,Services,,0,20 gp,,,
Clockwork Dial,Standard,PFS Guide pg. 114,Uncommon,Uncommon,Adventuring Gear,,0,20 gp,,,
Composite Longbow,Standard,Player Core pg. 280 <sup>2.0</sup>,Common,"Deadly d10, Propulsive, Volley 30 ft.",Weapons,Base Weapons,0,20 gp,2,,
Guide (Survival Guide Level 3; Expert),,Firebrands pg. 93 <sup>2.0</sup>,Common,,Services,,0,20 gp,,,
Researcher (Level 5),Standard,PFS Guide pg. 116,Common,,Services,Researcher,0,20 gp (per day),,,
Sisterstone Chunk,,Pathfinder #183: Field of Maidens pg. 79,Rare,"Precious, Rare",Materials,,0,20 gp,L,,Blood Lords
Smuggling (Level 2),,Firebrands pg. 95 <sup>2.0</sup>,Common,,Services,,0,20 gp,,,
Spyglass,Standard,Player Core pg. 292 <sup>2.0</sup>,Common,,Adventuring Gear,,0,20 gp,L,,
Wool (Sack),Standard,Travel Guide pg. 36,Common,,Trade Goods,,0,24 gp,,,
Alchemical Crossbow,Limited,The Fall of Plaguestone pg. 56,Uncommon,"Alchemical, Uncommon",Weapons,Base Weapons,0,25 gp,1,,The Fall of Plaguestone
Propaganda (Level 2),,Firebrands pg. 94 <sup>2.0</sup>,Common,,Services,,0,25 gp,,,
Polar Travel Kit,,Pathfinder #189: Dreamers of the Nameless Spires pg. 28,Common,,Adventuring Gear,,0,30 gp,4,,
Tin (Ingot),,Travel Guide pg. 36,Common,,Trade Goods,,0,30 gp,,,
Axolotl,Standard,Travel Guide pg. 103,Common,,Animals and Gear,Animals,0,40 gp,,,
Canary Tail (Third Week),,Firebrands pg. 92 <sup>2.0</sup>,Common,,Services,,0,40 gp,,,
Propaganda (Level 3),,Firebrands pg. 94 <sup>2.0</sup>,Common,,Services,,0,40 gp,,,
Researcher (Level 6),Standard,PFS Guide pg. 116,Common,,Services,Researcher,0,40 gp (per day),,,
Spellcasting (4th level),Standard,Player Core pg. 295 <sup>2.0</sup>,Common,,Services,Spellcasting,0,40 gp (plus any cost required to cast the specific spell),,,
Barding (Heavy; Large),Standard,Player Core pg. 295 <sup>2.0</sup>,Common,,Adventuring Gear,,0,50 gp,8,,
Cradle Minder,Standard,Travel Guide pg. 103,Common,,Animals and Gear,Animals,0,50 gp,,,
Guide (Survival Guide Level 4),,Firebrands pg. 93 <sup>2.0</sup>,Common,,Services,,0,50 gp,,,
Item Cache (Common Cache Level 4),,Firebrands pg. 93 <sup>2.0</sup>,Common,,Services,,0,50 gp,,,
Item Cache (Uncommon Cache Level 2),,Firebrands pg. 93 <sup>2.0</sup>,Common,,Services,,0,50 gp,,,
Political Favor (Minor),Standard,Dark Archive pg. 83,Uncommon,Uncommon,Services,Secret Society Membership Services,0,50 gp,,,
Researcher (Level 7; master),Standard,PFS Guide pg. 116,Common,,Services,Researcher,0,50 gp (per day),,,
Smuggling (Level 3),,Firebrands pg. 95 <sup>2.0</sup>,Common,,Services,,0,50 gp,,,
Propaganda (Level 4),,Firebrands pg. 94 <sup>2.0</sup>,Common,,Services,,0,60 gp,,,
Alpaca,Standard,Travel Guide pg. 103,Common,,Animals and Gear,Animals,0,75 gp,,,
Canary Tail (Fourth Week),,Firebrands pg. 92 <sup>2.0</sup>,Common,,Services,,0,80 gp,,,
High-Contrast Goggles,Standard,Howl of the Wild pg. 113 <sup>2.0</sup>,Uncommon,Uncommon,Adventuring Gear,,0,80 gp,,,
Spellcasting (5th level),Standard,Player Core pg. 295 <sup>2.0</sup>,Common,,Services,Spellcasting,0,80 gp (plus any cost required to cast the specific spell),,,
Smuggling (Level 4),,Firebrands pg. 95 <sup>2.0</sup>,Common,,Services,,0,90 gp,,,
Atmospheric Breathing Suit,Standard,Howl of the Wild pg. 112 <sup>2.0</sup>,Common,,Adventuring Gear,,0,100 gp,2,,
Coded Signal (Permanent),Standard,Dark Archive pg. 83,Uncommon,Uncommon,Services,Secret Society Membership Services,0,100 gp,,,
Cotton (Bale),Standard,Travel Guide pg. 36,Common,,Trade Goods,,0,100 gp,,,
Item Cache (Uncommon Cache Level 3),,Firebrands pg. 93 <sup>2.0</sup>,Common,,Services,,0,100 gp,,,
Propaganda (Level 5),,Firebrands pg. 94 <sup>2.0</sup>,Common,,Services,,0,100 gp,,,
Safe House (Level 2),,Firebrands pg. 94 <sup>2.0</sup>,Common,,Services,,0,100 gp (per day),,,
Silver (Ingot),,Travel Guide pg. 36,Common,,Trade Goods,,0,100 gp,,,
Propaganda (Level 6),,Firebrands pg. 94 <sup>2.0</sup>,Common,,Services,,0,150 gp,,,
Smuggling (Level 5),,Firebrands pg. 95 <sup>2.0</sup>,Common,,Services,,0,150 gp,,,
Spellcasting (6th level),Standard,Player Core pg. 295 <sup>2.0</sup>,Common,,Services,Spellcasting,0,160 gp (plus any cost required to cast the specific spell),,,
Sisterstone Ingot,,Pathfinder #183: Field of Maidens pg. 79,Rare,"Precious, Rare",Materials,,0,200 gp,1,,Blood Lords
Item Cache (Uncommon Cache Level 4),,Firebrands pg. 93 <sup>2.0</sup>,Common,,Services,,0,250 gp,,,
Propaganda (Level 7),,Firebrands pg. 94 <sup>2.0</sup>,Common,,Services,,0,300 gp,,,
Spellcasting (7th level),Standard,Player Core pg. 295 <sup>2.0</sup>,Common,,Services,Spellcasting,0,360 gp (plus any cost required to cast the specific spell),,,
Abysium Chunk,Standard,Grand Bazaar pg. 96,Rare,"Precious, Rare",Materials,,0,450 gp,L,,
Siccatite Chunk,Standard,Grand Bazaar pg. 100,Rare,"Precious, Rare",Materials,,0,500 gp,L,,
Inubrix Chunk,Standard,Grand Bazaar pg. 98,Rare,"Precious, Rare",Materials,,0,550 gp,,,
Djezet Mass,Standard,Grand Bazaar pg. 97,Rare,"Precious, Rare",Materials,,0,600 gp,L,,
Noqual Chunk,Standard,Grand Bazaar pg. 99,Rare,"Precious, Rare",Materials,,0,600 gp,L,,
Peachwood Branch,Standard,"Book of the Dead pg. 20, Tian Xia Character Guide pg. 129",Uncommon,"Precious, Uncommon",Materials,,0,600 gp,L,,
Sovereign Steel Chunk,Standard,Legends pg. 77,Rare,"Precious, Rare",Materials,,0,700 gp,L,,
Spellcasting (8th level),Standard,Player Core pg. 295 <sup>2.0</sup>,Common,,Services,Spellcasting,0,720 gp (plus any cost required to cast the specific spell),,,
Keep Stone Chunk,Standard,Highhelm pg. 113,Rare,"Precious, Rare",Materials,,0,750 gp,,,
Warpglass Chunk,,Pathfinder #162: Ruins of the Radiant Siege pg. 74,Rare,"Precious, Rare",Materials,,0,800 gp,L,,Agents of Edgewatch
Coded Signal (Monument),Standard,Dark Archive pg. 83,Uncommon,Uncommon,Services,Secret Society Membership Services,0,"1,000 gp",,,
Gold (Ingot),,Travel Guide pg. 36,Common,,Trade Goods,,0,"1,000 gp",,,
Political Favor (Moderate),Standard,Dark Archive pg. 83,Uncommon,Uncommon,Services,Secret Society Membership Services,0,"1,000 gp",,,
Safe House (Level 3),,Firebrands pg. 94 <sup>2.0</sup>,Common,,Services,,0,"1,000 gp (per day)",,,
Spellcasting (9th level),Standard,Player Core pg. 295 <sup>2.0</sup>,Common,,Services,Spellcasting,0,"1,800 gp (plus any cost required to cast the specific spell)",,,
Abysium Ingot,Standard,Grand Bazaar pg. 96,Rare,"Precious, Rare",Materials,,0,"4,500 gp",1,,
Siccatite Ingot,Standard,Grand Bazaar pg. 100,Rare,"Precious, Rare",Materials,,0,"5,000 gp",1,,
Inubrix Ingot,Standard,Grand Bazaar pg. 98,Rare,"Precious, Rare",Materials,,0,"5,500 gp",,,
Djezet Alloy Ingot,Standard,Grand Bazaar pg. 97,Rare,"Precious, Rare",Materials,,0,"6,000 gp",1,,
Noqual Ingot,Standard,Grand Bazaar pg. 99,Rare,"Precious, Rare",Materials,,0,"6,000 gp",1,,
Peachwood Lumber,Standard,"Book of the Dead pg. 20, Tian Xia Character Guide pg. 129",Uncommon,"Precious, Uncommon",Materials,,0,"6,000 gp",1,,
Sovereign Steel Ingot,Standard,Legends pg. 77,Rare,"Precious, Rare",Materials,,0,"7,000 gp",L,,
Keep Stone Ingot,Standard,Highhelm pg. 113,Rare,"Precious, Rare",Materials,,0,"7,500 gp",,,
Warpglass Ingot,,Pathfinder #162: Ruins of the Radiant Siege pg. 74,Rare,"Precious, Rare",Materials,,0,"8,000 gp",1,,Agents of Edgewatch
Political Favor (Major),Standard,Dark Archive pg. 83,Uncommon,Uncommon,Services,Secret Society Membership Services,0,"10,000 gp",,,
Alchemical Bomb,Standard,Player Core pg. 280 <sup>2.0</sup>,Common,,Weapons,Base Weapons,0, (Varies),L,,
Counterfeit Item (High-Grade),Standard,Dark Archive pg. 83,Uncommon,Uncommon,Services,Secret Society Membership Services,0,,,,
Counterfeit Item (Low-Grade),Standard,Dark Archive pg. 83,Uncommon,Uncommon,Services,Secret Society Membership Services,0,,,,
Counterfeit Item (Medium-Grade),Standard,Dark Archive pg. 83,Uncommon,Uncommon,Services,Secret Society Membership Services,0,,,,
Fish,,"Travel Guide pg. 36, Travel Guide pg. 103",Common,,Trade Goods,,0,,,,
Fist,Standard,Player Core pg. 277 <sup>2.0</sup>,Common,"Agile, Finesse, Nonlethal, Unarmed",Weapons,Base Weapons,0,,,,
Peachwood,Standard,"Tian Xia Character Guide pg. 129, Book of the Dead pg. 20",Uncommon,"Precious, Uncommon",Materials,,0,,,,
Peachwood Weapon,Standard,"Tian Xia Character Guide pg. 130, Book of the Dead pg. 20",Uncommon,Uncommon,Weapons,Precious Material Weapons,0,, varies by weapon,varies by weapon,
Puzzle Box (Hollow),Standard,Grand Bazaar pg. 59,Common,,Adventuring Gear,,0,,L,held in 1 hand,
Shield Bash,Standard,Player Core pg. 278 <sup>2.0</sup>,Common,,Weapons,Base Weapons,0,,,,
Thresholds of Truth,,Pathfinder #164: Hands of the Devil pg. 71,Unique,Unique,Other,,0,,,,Abomination Vaults
Unarmored,Standard,Player Core pg. 273 <sup>2.0</sup>,Common,,Armor,Base Armor,0,,,,
Matchstick,Standard,"Player Core 2 pg. 295, GM Core pg. 251 <sup>2.0</sup>",Common,"Alchemical, Consumable",Alchemical Items,Alchemical Tools,1,2 sp,,held in 1 hand,
Portable Weapon Mount (Monopod),Standard,Guns & Gears pg. 182 <sup>2.0</sup>,Uncommon,Uncommon,Customizations,Stabilizers,1,2 sp,1,,
Sparkler,Standard,Treasure Vault pg. 54 <sup>1.1</sup>,Uncommon,"Alchemical, Consumable, Fire, Uncommon",Alchemical Items,Alchemical Tools,1,4 sp,,held in 1 hand,
Boarding Pike,Standard,PFS Guide pg. 80,Uncommon,"Reach, Shove, Uncommon",Weapons,Base Weapons,1,8 sp,2,,
Combat Grapnel,Standard,PFS Guide pg. 80,Uncommon,"Finesse, Grapple, Tethered, Thrown 20 ft., Uncommon",Weapons,Base Weapons,1,9 sp,1,,
Elixir of Gender Transformation (Lesser),Standard,Player Core 2 pg. 287,Common,"Alchemical, Consumable, Elixir",Alchemical Items,Alchemical Elixirs,1,1 gp,L,held in 1 hand,
Marvelous Miniature (Campfire),Standard,GM Core pg. 268 <sup>2.0</sup>,Common,"Consumable, Expandable, Magical",Consumables,Other Consumables,1,1 gp,,held in 1 hand,
Popdust,Standard,Grand Bazaar pg. 59,Uncommon,"Alchemical, Consumable, Sonic, Uncommon",Alchemical Items,Alchemical Tools,1,1 gp,L,held in 1 hand,
Surprise Doll,Standard,Grand Bazaar pg. 58,Common,,Adventuring Gear,,1,1 gp,L,held in 1 hand,
Pesh Paste,Restricted,Firebrands pg. 119 <sup>2.0</sup>,Common,"Alchemical, Consumable, Drug, Ingested, Poison",Alchemical Items,Drugs,1,"1 gp, 5 sp",L,held in 1 hand,
Addiction Suppressant (Lesser),Standard,"Treasure Vault pg. 58 <sup>1.1</sup>, Legends pg. 72",Common,"Alchemical, Consumable, Elixir, Healing",Alchemical Items,Alchemical Elixirs,1,2 gp,L,held in 1 hand,
Aldori Dueling Sword,Standard,"Kingmaker Adventure Path pg. 599, World Guide pg. 28 <sup>2.0</sup>",Uncommon,"Finesse, Uncommon, Versatile P",Weapons,Base Weapons,1,2 gp,1,,Kingmaker
Eyecatcher,Standard,Firebrands pg. 82 <sup>2.0</sup>,Uncommon,"Adjustment, Uncommon",Adjustments,,1,2 gp,,applied to a weapon,
Lock (Simple),Standard,Player Core pg. 288 <sup>2.0</sup>,Common,,Adventuring Gear,,1,2 gp,,,
Magnetic Construction Set,Standard,Grand Bazaar pg. 58,Common,,Adventuring Gear,,1,2 gp,L,held in 2 hands,
Puzzle Box (Complex),Standard,Grand Bazaar pg. 59,Common,,Adventuring Gear,,1,2 gp,L,held in 1 hand,
Refined Pesh,Restricted,"Gamemastery Guide pg. 120, World Guide pg. 52 <sup>2.0</sup>",Common,"Alchemical, Consumable, Drug, Ingested, Inhaled, Poison",Alchemical Items,Drugs,1,2 gp,L,held in 1 hand,
Rust Scrub,Limited,Rusthenge pg. 59,Uncommon,"Alchemical, Consumable, Uncommon",Alchemical Items,Alchemical Tools,1,2 gp,L,held in 1 hand,Rusthenge
Snake Oil,Standard,"Player Core 2 pg. 296, GM Core pg. 251 <sup>2.0</sup>",Common,"Alchemical, Consumable",Alchemical Items,Alchemical Tools,1,2 gp,L,held in 2 hands,
Waffle Iron (Imprint),Standard,Grand Bazaar pg. 93,Common,,Adventuring Gear,,1,2 gp,1,,
Acid Flask (Lesser),Standard,"Player Core 2 pg. 283, GM Core pg. 244 <sup>2.0</sup>",Common,"Acid, Alchemical, Bomb, Consumable, Splash",Alchemical Items,Alchemical Bombs,1,3 gp,L,held in 1 hand,
Alarm Snare,Standard,Player Core 2 pg. 297,Common,"Auditory, Consumable, Mechanical, Snare, Trap",Snares,,1,3 gp,,,
Alchemical Fuse,Limited,Pathfinder #179: Cradle of Quartz pg. 75,Common,"Alchemical, Consumable, Fire",Alchemical Items,Alchemical Tools,1,3 gp,L,held in 1 hand,
Alchemist's Fire (Lesser),Standard,"Player Core 2 pg. 283, GM Core pg. 244 <sup>2.0</sup>",Common,"Alchemical, Bomb, Consumable, Fire, Splash",Alchemical Items,Alchemical Bombs,1,3 gp,L,held in 1 hand,
Animal Repellent (Minor),Standard,Treasure Vault pg. 52 <sup>1.1</sup>,Common,"Alchemical, Consumable, Olfactory",Alchemical Items,Alchemical Tools,1,3 gp,L,held in 1 hand,
Antidote (Lesser),Standard,"Player Core 2 pg. 286, GM Core pg. 246 <sup>2.0</sup>",Common,"Alchemical, Consumable, Elixir, Healing",Alchemical Items,Alchemical Elixirs,1,3 gp,L,held in 1 hand,
Antiplague (Lesser),Standard,"Player Core 2 pg. 286, GM Core pg. 246 <sup>2.0</sup>",Common,"Alchemical, Consumable, Elixir, Healing",Alchemical Items,Alchemical Elixirs,1,3 gp,L,held in 1 hand,
Appetizing Flavor Snare,Standard,Monsters of Myth pg. 112,Rare,"Consumable, Mechanical, Rare, Snare, Trap",Snares,,1,3 gp,,,
Aroma Concealer,Standard,Howl of the Wild pg. 109 <sup>2.0</sup>,Common,"Alchemical, Consumable, Oil",Alchemical Items,Alchemical Tools,1,3 gp,L,held in 2 hands,
Arsenic,Standard,"Player Core 2 pg. 291, GM Core pg. 248 <sup>2.0</sup>",Common,"Alchemical, Consumable, Ingested, Poison",Alchemical Items,Alchemical Poisons,1,3 gp,L,held in 1 hand,
Bane Ammunition (Lesser),Standard,Treasure Vault pg. 42 <sup>1.1</sup>,Common,"Alchemical, Consumable, Poison",Alchemical Items,Alchemical Ammunition,1,3 gp,,,
Battering Snare,Limited,Pathfinder #175: Broken Tusk Moon pg. 79,Common,"Consumable, Mechanical, Nonlethal, Snare, Trap",Snares,,1,3 gp,,,
Bioluminescence Bomb,Limited,Pathfinder #187: The Seventh Arch pg. 80,Uncommon,"Alchemical, Bomb, Consumable, Light, Uncommon",Alchemical Items,Alchemical Bombs,1,3 gp,L,held in 1 hand,Gatewalkers
Blast Boots (Lesser),Standard,Guns & Gears pg. 67 <sup>2.0</sup>,Uncommon,"Consumable, Gadget, Uncommon",Consumables,Gadgets,1,3 gp,L,worn (attached to footwear or feet),
Blasting Stone (Lesser),Standard,Player Core 2 pg. 283,Common,"Alchemical, Bomb, Consumable, Sonic, Splash",Alchemical Items,Alchemical Bombs,1,3 gp,L,held in 1 hand,
Blight Bomb (Lesser),Standard,Player Core 2 pg. 283,Common,"Alchemical, Bomb, Consumable, Poison, Splash",Alchemical Items,Alchemical Bombs,1,3 gp,L,held in 1 hand,
Blindpepper Tube,,Pathfinder #157: Devil at the Dreaming Palace pg. 78,Uncommon,"Alchemical, Consumable, Uncommon, Visual",Alchemical Items,Alchemical Tools,1,3 gp,L,held in 1 hand,Agents of Edgewatch
Bookthief Brew,Limited,PFS Guide pg. 30,Uncommon,"Alchemical, Consumable, Uncommon",Alchemical Items,Alchemical Tools,1,3 gp,L,held in 1 hand,
Bottled Lightning (Lesser),Standard,Player Core 2 pg. 284,Common,"Alchemical, Bomb, Consumable, Electricity, Splash",Alchemical Items,Alchemical Bombs,1,3 gp,L,held in 1 hand,
Caltrop Snare,Standard,Player Core 2 pg. 298,Common,"Consumable, Mechanical, Snare, Trap",Snares,,1,3 gp,,,
Cheetah's Elixir (Lesser),Standard,"Player Core 2 pg. 286, GM Core pg. 246 <sup>2.0</sup>",Common,"Alchemical, Consumable, Elixir",Alchemical Items,Alchemical Elixirs,1,3 gp,L,held in 1 hand,
Chilled Fire Noodles,Standard,Tian Xia Character Guide pg. 105,Uncommon,"Consumable, Magical, Uncommon",Consumables,Other Consumables,1,3 gp,L,held in 1 hand,
Choker-Arm Mutagen (Lesser),Standard,Treasure Vault pg. 59 <sup>1.1</sup>,Common,"Alchemical, Consumable, Elixir, Mutagen, Polymorph",Alchemical Items,Alchemical Elixirs,1,3 gp,L,held in 1 hand,
Clockwork Goggles,Standard,Guns & Gears pg. 68 <sup>2.0</sup>,Uncommon,"Clockwork, Consumable, Gadget, Uncommon",Consumables,Gadgets,1,3 gp,L,worn eyepiece,
Cryomister (Lesser),Standard,Guns & Gears pg. 68 <sup>2.0</sup>,Uncommon,"Cold, Consumable, Gadget, Uncommon",Consumables,Gadgets,1,3 gp,L,held in 1 hand,
Deadweight Mutagen (Lesser),Standard,Treasure Vault pg. 59 <sup>1.1</sup>,Common,"Alchemical, Consumable, Elixir, Mutagen, Polymorph",Alchemical Items,Alchemical Elixirs,1,3 gp,L,held in 1 hand,
Dread Ampoule (Lesser),Standard,"Player Core 2 pg. 285, GM Core pg. 245 <sup>2.0</sup>",Common,"Alchemical, Bomb, Consumable, Emotion, Fear, Mental, Poison, Splash",Alchemical Items,Alchemical Bombs,1,3 gp,L,held in 1 hand,
Dust Pods,Limited,Pathfinder #151: The Show Must Go On pg. 76,Uncommon,"Consumable, Mechanical, Snare, Trap, Uncommon",Snares,,1,3 gp,,,Extinction Curse
